transaction_id,transaction_date,venue,event_name,ticket_type,quantity,price,revenue,customer_id,payment_method
dcba3780-99d2-41c2-861f-3fca9b5a759b,2024-02-07 12:16:31,MSG Network,Rangers Game,Premium,4,99.07,396.28,d1d96586-4b41-4c8c-8a24-bca4d8ad3d12,Cash
d236b6d0-b340-4bc7-a20e-0739801408c2,2024-04-21 17:23:48,MSG Network,U2 Concert,General Admission,1,145.47,145.47,7db7f1b6-8335-4bc4-847e-ccd2aedb7bf4,Debit Card
d1fd7217-c9a0-4916-aa30-19f14ccf0a9f,2024-09-11 05:19:37,MSG Network,U2 Concert,Child,3,53.72,161.16,446cfa03-4808-495c-928f-c4d50ef920be,Gift Card
574d972e-0df0-41b0-a80f-5fd6b6ffd89b,2024-06-01 12:24:45,MSG Network,Rangers Game,Student,3,47.26,141.78,6048dfb6-7e39-4de1-b65e-fdf1d7e67173,Cash
48c9377f-264c-42f7-8dc4-3e35855376f5,2024-06-08 22:46:14,Sphere Las Vegas,Movie Night,General Admission,5,175.09,875.45,9a115939-1d5a-4a39-a451-45b0b40d1341,Cash
ad683e25-c047-4131-88ce-484f22cbf539,2024-10-19 06:56:44,MSG Network,Rangers Game,Child,4,98.97,395.88,760414e2-3b65-407c-a6f8-3c2c014f72f0,Cash
cad29406-bf3b-40af-a7f9-2f6cfaa83d73,2024-09-04 23:46:13,Sphere Las Vegas,Movie Night,Premium,1,137.34,137.34,9d0a9a31-1f07-4e46-a1f4-6bcae81e6301,Gift Card
a8e1bf83-aebe-42c4-8a53-50258c761f16,2024-05-12 13:42:38,Sphere Las Vegas,Rangers Game,General Admission,2,112.14,224.28,a755aa1a-dbc8-4d24-affb-e127bb2e123d,Gift Card
0d38bc3d-4785-4c40-afec-7350340a9219,2024-03-22 23:04:10,Sphere Las Vegas,U2 Concert,Student,3,22.98,68.94,0442b2b3-973f-42da-bf7a-df5312b1c40c,Cash
c20cd848-1a62-401a-bc7d-f83c5a252892,2024-09-05 05:41:21,MSG Network,Comedy Show,General Admission,4,129.2,516.8,815425a4-dd27-48fe-accd-3d38008e0897,Debit Card
d7d4abce-8657-4309-9cf0-e33600225741,2024-05-06 01:23:38,MSG Network,Knicks Game,General Admission,5,91.59,457.95,e51d4937-9985-430c-8615-3132a110ad61,Gift Card
85362f17-4562-4cce-94f1-712b09bd91e9,2024-10-22 11:39:52,MSG Network,Rangers Game,VIP,1,93.13,93.13,0b66ccc0-8b0f-4d39-899e-f8f0bd5fd228,Gift Card
5450643c-f0b3-439a-a478-6da7bf6153dd,2024-12-11 01:34:38,MSG Network,Knicks Game,General Admission,5,60.06,300.3,da443c56-5eed-4eb7-a287-0833868b6f1d,Cash
7b940461-f1ee-40a4-b24e-fe99bfbc77a5,2024-05-27 13:49:51,Sphere Las Vegas,U2 Concert,Premium,5,107.18,535.9,ca573864-891b-484e-8f6c-5587eea8c059,Cash
ebfac02a-05ad-4af8-9e60-56e6d56155be,2024-10-27 10:20:09,Sphere Las Vegas,Comedy Show,General Admission,4,134.73,538.92,91b048fb-97fc-4226-a21e-1824edc881a5,Credit Card
e2ac42d0-3a7e-4100-a475-193d8de60b3a,2024-12-03 22:59:21,MSG Network,Rangers Game,Student,5,97.96,489.8,94157219-9356-4511-99f4-681366297f5c,Cash
e4197535-0ad9-421d-84a3-41404c34da8a,2024-01-08 10:23:12,Sphere Las Vegas,Knicks Game,Child,2,80.84,161.68,ec4650c1-1762-477d-b82a-503c74e58a19,Credit Card
